"","UserID","Gender","Supertoto_max_stakes","Supertoto_mean_Bets","Supertoto_mean_Stakes","Supertoto_mean_Winnings","Recency_bet_supertoto","Continent"
"186",1340059,1,1,2,1,0.92,192,"Europe"
"187",1340070,1,0.4,1,0.4,0.33,72,"Europe"
"188",1340269,0,1.6,1.4,0.78,0.64,203,"Europe"
"189",1340303,1,2.4,1.33,1.53,1.26,223,"Europe"
"190",1340655,1,0.3,3,0.3,0.25,219,"Asia"
"191",1340684,1,8,1,8,6.6,236,"Europe"
"192",1340761,1,2,1.91,0.67,0.56,126,"Europe"
"193",1341002,1,0.5,1,0.5,0.41,110,"Europe"
"194",1341012,1,0.5,1,0.5,0.41,234,"Europe"
"195",1341307,1,0.4,2,0.4,0.33,189,"Europe"
"196",1341376,1,38.6,2.67,10.38,8.66,2,"Europe"
"197",1341409,1,0.3,1.75,0.18,0.15,9,"Europe"
"198",1341540,1,14.7,4.04,3.41,2.84,93,"Europe"
"199",1341665,1,0.2,2,0.2,0.16,24,"Europe"
"200",1341722,1,2.8,1.5,1.4,1.16,145,"Europe"
"201",1341752,1,0.1,1,0.1,0.08,233,"Europe"
"202",1341777,1,3,6,3,2.48,208,"Europe"
"203",1341967,1,2.4,1,0.73,0.6,9,"Europe"
"204",1342310,0,0.7,2,0.6,0.5,233,"Europe"
"205",1342478,1,6.4,1,3.77,3.11,19,"Europe"
"206",1342512,1,19.2,0.75,11.2,9.24,192,"Europe"
"207",1342564,1,1.8,2.04,0.47,0.4,1,"Europe"
"208",1342733,1,9.6,1.5,4.8,3.96,33,"Europe"
"209",1342900,1,16,1.44,2.34,1.93,3,"Asia"
"210",1343186,1,32,1,32,26.4,230,"Europe"
"211",1343255,1,2,2,0.78,0.64,3,"Europe"
"212",1343675,1,0.5,0.86,0.2,0.17,185,"Europe"
"213",1343709,1,8,1,6,4.95,229,"Europe"
"214",1343976,1,8,1.29,1.58,1.31,8,"Europe"
"215",1343999,1,0.5,1,0.5,0.41,213,"Europe"
"216",1344035,1,9,5.5,4.75,3.92,15,"Europe"
"217",1344092,1,7.2,1.04,1.41,1.18,1,"Europe"
"218",1344165,1,12.8,1,5.02,4.18,145,"Europe"
"219",1344300,1,25.6,1,25.6,21.12,224,"Europe"
"220",1344460,1,6.4,1.22,2.19,1.81,148,"Europe"
"221",1344642,1,9,1.6,3.88,3.2,8,"Europe"
"222",1344662,1,0.5,1,0.5,0.41,213,"Europe"
"223",1344699,1,0.5,1,0.5,0.41,186,"Asia"
"224",1344703,1,4.8,1,4.8,3.96,217,"Europe"
"225",1344711,1,0.1,1,0.1,0.08,231,"Asia"
"226",1344999,1,13.5,2.5,6.85,5.66,178,"Europe"
"227",1345043,1,1.6,0.86,0.59,0.49,120,"Europe"
"228",1345050,1,3.2,1,3.2,2.8,207,"Europe"
"229",1345102,0,10.8,6,8.3,6.85,189,"Europe"
"230",1345282,1,0.5,1,0.4,0.34,178,"Asia"
"231",1345391,1,6,1.31,2.26,1.87,7,"Europe"
"232",1345476,1,10,1.42,1.98,1.64,1,"Americas"
"233",1345486,1,2.4,1,2.4,2.22,234,"Europe"
"234",1345574,1,16.5,2.57,5.01,4.16,195,"Asia"
"235",1345703,1,6,1.4,1.8,1.52,208,"Europe"
"236",1345792,1,145.8,0.67,52.6,43.39,186,"Europe"
"237",1345852,1,64,1.24,10.64,8.9,14,"Europe"
"238",1346031,1,12.6,4.53,5.07,4.27,152,"Europe"
"239",1346068,1,4,1,2.4,1.98,207,"Europe"
"240",1346081,1,3.2,1,3.2,2.64,226,"Europe"
"241",1346153,1,0.5,1,0.5,0.41,222,"Europe"
"242",1346158,1,0.8,1,0.8,0.66,170,"Europe"
"243",1346284,1,22.4,3.21,4.85,4.12,15,"Europe"
"244",1346545,1,0.5,1,0.5,0.41,215,"Europe"
"245",1346614,1,13.6,1.06,2.15,1.87,1,"Europe"
"246",1346771,1,6.4,3.6,3.08,2.64,22,"Europe"
"247",1346781,1,2.2,2.84,0.61,0.5,15,"Europe"
"248",1347012,1,0.2,1.33,0.13,0.11,224,"Asia"
"249",1347051,1,6,1.17,1.6,1.32,24,"Europe"
"250",1347053,1,0.5,1,0.3,0.25,215,"Europe"
"251",1347136,1,4,1,4,3.3,146,"Europe"
"252",1347310,1,9.6,3,4.15,3.52,26,"Europe"
"253",1347369,1,0.3,3,0.3,0.25,225,"Europe"
"254",1347382,1,3.2,1.5,2.6,2.15,19,"Europe"
"255",1347449,1,0.5,1.5,0.35,0.3,187,"Europe"
"256",1347471,1,1,1.29,0.4,0.33,1,"Europe"
"257",1347534,1,6.4,1,6.4,5.28,28,"Europe"
"258",1347537,1,3.3,1.25,1.25,1.05,169,"Asia"
"259",1347581,0,0.2,2,0.2,0.16,233,"Europe"
"260",1347828,1,1,1,1,0.82,166,"Europe"
"261",1347867,1,4,1,4,3.3,230,"Europe"
"262",1347896,1,0.5,1,0.5,0.41,208,"Europe"
"263",1347899,1,9.6,1,9.6,7.92,168,"Europe"
"264",1347960,1,3.2,1,2.52,2.14,16,"Europe"
"265",1348058,1,0.5,1.5,0.35,0.29,219,"Europe"
"266",1348081,1,4.5,1,4.5,3.71,228,"Europe"
"267",1348100,0,0.5,1,0.33,0.28,222,"Europe"
"268",1348135,1,1.2,1,1.2,0.99,233,"Asia"
"269",1348150,1,28.8,0.5,14.4,11.88,33,"Europe"
"270",1348152,1,16.8,1.28,3.63,3.1,1,"Europe"
"271",1348156,1,4.8,1,2.83,2.44,213,"Europe"
"272",1348168,1,19.2,1,17.6,14.52,221,"Europe"
"273",1348193,1,6.4,1.14,3.27,2.7,11,"Europe"
"274",1348215,1,1.6,1,0.56,0.47,1,"Europe"
"275",1348224,1,1.5,1.33,0.48,0.4,3,"Europe"
"276",1348291,1,3.2,1.12,1.86,1.58,2,"Europe"
"277",1348340,1,0.1,1,0.1,0.08,15,"Europe"
"278",1348393,1,0.5,0.83,0.15,0.13,186,"Europe"
