"","UserID","Gender","max_stakes","mean_stakes","mean_bets","mean_winnings","LOS","Continent"
"112",1325491,1,5.4,3.88,38.75,3.2,208,"Europe"
"113",1325492,0,13810.59,5110.9,1197.02,4294.58,239,"Europe"
"114",1325496,0,102.5,102.5,14,90,239,"Europe"
"115",1325505,0,584,214,80.67,203,234,"Europe"
"116",1325527,0,409,334.25,78.4,283.85,191,"Europe"
"117",1325542,0,283,98.75,1.33,65.1,216,"Europe"
"118",1325543,1,25.6,20.27,1,16.72,225,"Europe"
"119",1325561,0,3,3,3,0,240,"Europe"
"120",1325569,0,6,6,6,2,218,"Europe"
"121",1325590,0,2590.94,2590.94,179,2390.94,36,"Europe"
"122",1325601,0,259,259,45,240.5,242,"Europe"
"123",1325610,0,6930,3602.5,8.5,2817.5,241,"Europe"
"124",1325619,1,10.8,2.42,1,2.02,4,"Europe"
"125",1325628,0,54,52.5,38,40.25,242,"Europe"
"126",1325636,0,6401.96,1713.33,148.54,1652.94,108,"Asia"
"127",1325647,0,187.5,138.5,25,105.85,238,"Europe"
"128",1325654,0,314.47,221.76,320,182.47,151,"Europe"
"129",1325655,0,1188.5,583.5,17.33,545.33,210,"Europe"
"130",1325664,0,119.5,45,16.66,35.92,170,"Europe"
"131",1325666,0,15,15,1,12,144,"Europe"
"132",1325671,0,5524.5,5524.5,3,4800,242,"Europe"
"133",1325682,0,136830,17025.37,364.26,17090.51,8,"Europe"
"134",1325694,0,3.36,3.36,3,2.5,146,"Asia"
"135",1325702,0,112,112,2,112,242,"Europe"
"136",1325703,0,90,90,69,64,224,"Europe"
"137",1325706,1,0.8,0.8,1,0.66,100,"Asia"
"138",1325725,0,6.93,6.93,6,1.15,241,"Asia"
"139",1325740,0,3271,401.55,34.04,372.29,17,"Europe"
"140",1325743,0,11019,4052.91,522.83,3998.5,115,"Europe"
"141",1325750,0,185,115,15,129,235,"Europe"
"142",1325759,0,8,8,8,5,240,"Europe"
"143",1325773,0,523,74.59,38,74.09,150,"Europe"
"144",1325786,0,290,160.5,43,148.4,191,"Europe"
"145",1325812,0,153,45.25,39.5,46.12,101,"Europe"
"146",1325816,0,194.5,194.5,97,181.25,16,"Europe"
"147",1325824,1,8743,1574.88,358.43,1505.48,159,"Europe"
"148",1325832,0,234,234,55,181,242,"Europe"
"149",1325834,0,3556,731.6,7.12,713.82,8,"Europe"
"150",1325835,0,198,99,6,79,190,"Europe"
"151",1325854,0,1324,186.67,139.63,171.63,1,"Europe"
"152",1325864,0,3,3,3,0,205,"Europe"
"153",1325867,0,437.5,202.5,84,170.2,141,"Europe"
"154",1325870,0,2.76,1.34,3.33,0.91,13,"Europe"
"155",1325899,0,1128,278.74,5,251.66,202,"Europe"
"156",1325925,0,1295,874.12,286,838,79,"Europe"
"157",1325927,0,17,17,1,12,237,"Europe"
"158",1325944,0,667.75,321.58,79.33,285.42,210,"Europe"
"159",1325960,0,49,49,48,43,240,"Europe"
"160",1325977,0,28.5,28.5,15,18.57,234,"Europe"
"161",1325979,0,555.5,555.5,243,555.5,169,"Europe"
"162",1325994,0,13,12.5,10.5,13.5,239,"Asia"
"163",1326000,0,6109.59,6109.59,7,6032.7,242,"Europe"
"164",1326008,0,649,470.25,52.5,523.5,226,"Europe"
"165",1326014,1,119.5,119.5,74,100.5,240,"Europe"
"166",1326028,0,51,51,8,17.16,23,"Europe"
"167",1326034,0,4.5,4.5,7,1.5,187,"Europe"
"168",1326037,1,4597.18,684.19,23.6,633.74,203,"Europe"
"169",1326043,0,0.99,0.99,2,0,228,"Europe"
"170",1326044,0,587,182.25,81.75,157.5,212,"Europe"
"171",1326059,0,89,89,56,60.4,242,"Asia"
"172",1326069,0,738,190.45,5.44,180.02,111,"Europe"
"173",1326070,1,0.5,0.5,1,0.41,19,"Europe"
"174",1326085,1,272.5,86.7,78.7,80.25,32,"Europe"
"175",1326086,0,14,11.25,16,6.25,214,"Europe"
"176",1326092,0,12,12,1,0,164,"Europe"
"177",1326124,0,141.5,34.85,25.8,30.75,94,"Europe"
"178",1326134,0,1,1,1,0,242,"Europe"
"179",1326138,0,50,44.67,13,14.67,231,"Europe"
"180",1326144,0,13,5.93,10.43,4.23,42,"Asia"
"181",1326147,0,95,30.25,1.25,33,28,"Europe"
"182",1326156,0,35,35,4,20,11,"Europe"
"183",1326167,0,34.29,34.29,105,18.36,121,"Asia"
"184",1326175,0,73.39,32.48,10.33,18.01,211,"Asia"
"185",1326180,0,86.85,56.92,6,43.12,241,"Europe"
"186",1326184,0,477.54,116.92,77,135.59,6,"Europe"
"187",1326192,0,57,43.5,6.5,24.24,1,"Europe"
"188",1326198,0,42.03,18.4,6.33,4.52,8,"Asia"
"189",1326199,0,310,178,30,146.25,241,"Europe"
"190",1326202,0,40,25,2,27,241,"Europe"
"191",1326203,0,118.25,85.62,9,62.75,225,"Europe"
"192",1326224,0,3562.27,499.48,3.14,508.38,140,"Europe"
"193",1326234,0,3.46,3.46,7,2.47,221,"Europe"
"194",1326237,0,49.21,25.24,21.33,22.86,215,"Europe"
"195",1326245,0,103.8,103.8,32,171.25,119,"Europe"
"196",1326250,0,1198.58,339.96,207.36,324.96,11,"Europe"
"197",1326280,0,41.75,41.75,154,44.25,128,"Europe"
"198",1326286,0,67,67,40,67.5,131,"Europe"
"199",1326296,0,501.58,175.81,795.42,173.39,225,"Europe"
"200",1326305,0,1,1,1,0,4,"Europe"
"201",1326307,0,37750,7221.76,92.67,6981.26,152,"Europe"
"202",1326311,0,2387,406.01,28.43,376.41,138,"Europe"
"203",1326312,0,2513.5,859.92,30.67,779.92,227,"Europe"
"204",1326323,0,68.5,37.75,37,31.5,234,"Europe"
"205",1326325,0,1250.5,579.9,175.53,564.83,206,"Europe"
"206",1326351,0,1538.69,894.85,288,864.85,241,"Europe"
"207",1326369,0,1335,172.52,4.58,183.67,76,"Europe"
"208",1326370,0,2,2,1,0,239,"Europe"
"209",1326378,0,425,241,11.33,177.83,219,"Europe"
"210",1326414,0,430,87.77,84,86.32,3,"Europe"
"211",1326426,0,137,137,4,92,221,"Europe"
"212",1326427,1,0.1,0.1,1,0.08,113,"Europe"
"213",1326429,1,1.2,1.2,1,1.11,241,"Europe"
"214",1326432,0,0,0,1,0,212,"Europe"
"215",1326436,0,29.86,29.86,36,11.23,230,"Asia"
"216",1326442,0,12,12,2,2.5,241,"Europe"
"217",1326452,1,247,247,22.9,268,211,"Europe"
"218",1326456,0,25755,14273,269.5,13410,241,"Europe"
"219",1326479,0,8.5,2.25,4.5,1.67,167,"Europe"
"220",1326511,0,8715.74,617.06,576.52,575.66,83,"Europe"
"221",1326533,0,257.16,58.21,2.33,42.03,235,"Europe"
"222",1326535,0,33.5,17.25,16.5,9.75,234,"Europe"
"223",1326542,0,185,73,10.5,51.88,177,"Europe"
"224",1326552,0,397,159.4,126,152.6,186,"Europe"
"225",1326564,0,0.2,0.15,1.5,0.12,133,"Europe"
"226",1326575,0,2,2,1,0,241,"Europe"
"227",1326580,0,7,7,3,8.71,86,"Europe"
"228",1326582,0,2794.65,2794.65,5,2651.15,241,"Europe"
"229",1326589,0,7.5,7.5,6,8.32,220,"Europe"
"230",1326592,1,3376.31,1077.04,34.4,1047.04,19,"Europe"
"231",1326597,0,145,120.5,23,70.5,235,"Europe"
"232",1326611,0,23.5,23.5,20,16.5,236,"Asia"
"233",1326623,0,34,34,20,34,79,"Europe"
"234",1326629,0,99,25.25,2.62,20.75,204,"Europe"
"235",1326655,0,67,38.1,24,26.89,17,"Europe"
"236",1326709,1,9.75,6.38,25.5,3.38,214,"Europe"
"237",1326731,0,97.25,20.75,20.83,17.6,59,"Asia"
"238",1326735,0,35,35,25,21.25,229,"Europe"
"239",1326749,0,2051,982,196.25,941.88,215,"Europe"
"240",1326754,0,62,62,62,32.75,215,"Europe"
"241",1326757,0,14,14,11,4,241,"Europe"
"242",1326762,0,2672.25,1222,350.2,1165.15,213,"Europe"
"243",1326773,0,257,92.5,78.25,94.75,148,"Europe"
"244",1326780,0,1166,113.11,117.38,106.42,110,"Europe"
"245",1326781,1,0.5,0.5,1,0.41,234,"Europe"
"246",1326788,0,1,1,1,0.82,3,"Europe"
"247",1326806,0,25473,6643.82,910.07,6491.18,198,"Europe"
"248",1326837,0,32,32,63,33.5,240,"Europe"
"249",1326838,0,750,334,37,224,11,"Europe"
"250",1326855,0,12,9,7,3,240,"Europe"
"251",1326856,0,60,60,11,40,240,"Europe"
"252",1326858,0,0,0,1,0,199,"Europe"
"253",1326861,1,2472.3,1072.3,587,1023.15,233,"Europe"
"254",1326872,0,1055,299.43,17,233.79,169,"Africa"
"255",1326873,0,27,27,26,14,218,"Europe"
"256",1326882,0,382,382,20,354,199,"Europe"
"257",1326900,1,2.5,2.5,5,1.75,180,"Asia"
"258",1326907,1,4.5,4.5,6,1.76,214,"Europe"
"259",1326915,0,2277.5,775.04,245.5,746.29,97,"Europe"
"260",1326917,0,111,72.5,59,77.25,17,"Europe"
"261",1326919,1,11.61,8.3,34.5,3.31,191,"Asia"
"262",1326921,0,72.5,16.99,12.56,14.91,46,"Europe"
"263",1326922,0,25,15,3.75,12.5,52,"Europe"
"264",1326931,0,133,43.93,3.57,38.79,156,"Europe"
"265",1326932,0,1162.5,190.18,58.58,186.79,197,"Europe"
"266",1326954,0,291,265.5,45,256,234,"Asia"
"267",1326959,0,2146,448.97,21.88,347.27,202,"Europe"
"268",1326962,0,3,3,1,0,197,"Europe"
"269",1326967,0,9.75,9.75,16,6.2,230,"Europe"
"270",1326968,0,2,2,2,2,240,"Europe"
"271",1326977,1,0.5,0.5,1,0.41,235,"Europe"
"272",1326986,0,2512.54,976.28,1391.14,884.28,224,"Asia"
"273",1326990,0,17,17,13,6,149,"Europe"
"274",1326991,0,39.22,20.17,12.5,11.63,144,"Asia"
"275",1327001,0,88.5,46.7,71.2,39.75,132,"Europe"
"276",1327005,0,318.3,114.36,180.2,103.38,223,"Europe"
"277",1327009,0,259,21.8,1.53,21.47,15,"Europe"
"278",1327015,1,934,140.44,3.94,142.22,156,"Europe"
"279",1327019,0,6,3.75,1.67,0.67,50,"Europe"
"280",1327026,0,10.68,10.68,5,4.22,240,"Europe"
"281",1327027,0,16515.45,4296.28,526.17,4212.42,218,"Europe"
"282",1327038,0,47,26.5,7.5,16,20,"Europe"
"283",1327053,0,22,22,23,13,87,"Europe"
"284",1327056,0,7,5,3.5,3.33,1,"Europe"
"285",1327061,0,41.44,9.71,5.61,7.5,151,"Asia"
"286",1327063,0,81.45,27.69,2.8,29.69,2,"Europe"
"287",1327070,0,3581.6,1797.55,643,1718.4,225,"Europe"
"288",1327083,0,199.5,66.79,1.83,66.12,234,"Europe"
"289",1327091,0,9,7.5,7.5,4,205,"Europe"
"290",1327092,0,80,78.5,66,41,1,"Europe"
"291",1327095,0,2,1.67,1,0,182,"Europe"
"292",1327104,0,13274.55,1179.31,85.86,1174.25,56,"Europe"
"293",1327120,1,2.2,1.9,3.5,1.65,203,"Asia"
"294",1327141,0,6500,1179.31,78.07,1046.64,18,"Europe"
"295",1327176,0,26,4.9,2.6,2.2,88,"Europe"
"296",1327179,1,4518,512.62,4.7,504.17,82,"Europe"
"297",1327181,0,159.5,55.15,14.2,47.95,108,"Europe"
"298",1327211,0,25,25,50,22.5,133,"Europe"
"299",1327214,0,80,29.33,29.33,25.92,231,"Asia"
"300",1327234,0,79.01,54.92,27.5,51.71,157,"Europe"
"301",1327236,0,102.25,102.25,182,93.25,239,"Asia"
"302",1327238,0,472,232,82.67,217.67,21,"Asia"
"303",1327241,0,59.4,59.4,5,38.71,137,"Asia"
"304",1327245,1,4.8,3.27,2.75,2.83,7,"Europe"
"305",1327253,0,11.15,11.15,2,4.45,224,"Europe"
"306",1327257,0,270,160,11.5,110,240,"Europe"
"307",1327258,1,3043,619.63,206.08,606.85,16,"Europe"
"308",1327265,0,15,15,6,3,241,"Europe"
"309",1327274,0,4,4,4,0,240,"Asia"
"310",1327280,0,760.5,242.68,49.45,235.31,215,"Asia"
"311",1327281,0,58.5,58.5,37,42,236,"Europe"
"312",1327307,0,1191.5,215.83,182.39,204.36,7,"Asia"
"313",1327333,1,0.5,0.5,1,0.41,207,"Europe"
"314",1327343,0,0,0,1,0,241,"Europe"
"315",1327349,0,24.21,24.21,26,5.65,241,"Europe"
"316",1327369,0,16,16,16,8.5,81,"Europe"
"317",1327370,0,311,113.76,13.95,110.41,64,"Asia"
"318",1327378,0,2036,704.96,83.8,660.59,197,"Europe"
"319",1327382,0,26,26,6,20,151,"Europe"
"320",1327389,0,48.02,25.74,22,18.41,217,"Europe"
"321",1327392,0,3,3,3,1.95,183,"Asia"
"322",1327398,0,831.5,177.53,72.62,174.92,3,"Europe"
"323",1327415,0,74,57,46,57.75,205,"Europe"
"324",1327419,1,151,151,40,127.5,239,"Europe"
"325",1327433,0,916.82,202.27,460.81,189.93,196,"Europe"
"326",1327443,0,38350,16011.25,853.5,15702.92,1,"Europe"
"327",1327447,0,29.73,10.38,4.6,5,236,"Europe"
"328",1327465,0,141,58.75,58.25,46.56,231,"Asia"
"329",1327469,0,6.45,6.45,2,0,241,"Europe"
"330",1327474,0,62,31.5,1.5,21,238,"Europe"
"331",1327480,0,1,1,2,0,191,"Asia"
"332",1327489,0,257,129.5,21.94,119.69,214,"Europe"
"333",1327497,0,478,257,3,240,228,"Europe"
"334",1327498,0,5972,1346.3,167.3,1102.1,234,"Europe"
"335",1327506,0,192.25,105.62,92.5,94.12,240,"Europe"
"336",1327530,0,40,37.75,33,29.5,240,"Europe"
"337",1327535,0,49.78,31.64,119.5,25.02,126,"Europe"
"338",1327537,0,119,36.53,12.12,32.97,1,"Europe"
"339",1327561,1,1.6,1.3,13,1.07,210,"Europe"
"340",1327567,0,77.5,77.5,68,71,126,"Asia"
"341",1327581,0,0,0,4,0,145,"Europe"
"342",1327583,0,12210,2382.9,18.4,2491.53,135,"Europe"
"343",1327584,1,0.2,0.2,1,0.16,177,"Europe"
"344",1327608,0,50,50,8,32,186,"Asia"
"345",1327613,0,20,20,10,0,85,"Europe"
"346",1327614,0,156.5,156.5,88,116.5,241,"Europe"
"347",1327618,0,1318.5,366.88,89,381.75,187,"Europe"
"348",1327620,0,10,10,4,0,240,"Europe"
"349",1327627,0,53.96,53.96,81,62.56,241,"Europe"
"350",1327631,0,123.61,19.07,39.22,14.69,150,"Europe"
"351",1327632,0,11.97,11.97,21,11.99,16,"Europe"
"352",1327657,0,68415.5,68415.5,929,67250,241,"Europe"
"353",1327664,0,538.75,298.25,183.75,253,132,"Asia"
"354",1327667,0,214,112,18,129.75,230,"Europe"
"355",1327670,0,54.25,19.55,49.67,10.58,237,"Europe"
"356",1327682,0,4,4,8,3,204,"Europe"
"357",1327688,0,227.74,77.87,59.65,74.25,240,"Asia"
"358",1327693,0,591.5,582.75,457,538,235,"Europe"
"359",1327695,1,8.5,8.5,16,5.25,226,"Europe"
"360",1327696,0,54,26.17,19,17.28,221,"Europe"
"361",1327699,0,7717,2839.33,222.92,2781.71,155,"Europe"
"362",1327700,0,1840,456.65,137.5,409.45,159,"Europe"
"363",1327704,0,317,87.56,76.94,86.09,177,"Europe"
"364",1327707,0,86,35,1.75,35.62,212,"Europe"
"365",1327709,0,5035.5,1016.05,479.73,995.83,101,"Europe"
"366",1327714,1,2642.5,598.59,116.57,579.34,55,"Europe"
"367",1327717,0,21,21,9,11,237,"Europe"
"368",1327729,0,129.49,51.15,309.44,45.6,11,"Europe"
"369",1327737,0,8,4,14,3.25,101,"Europe"
"370",1327740,0,359.29,155.99,75.6,232.13,3,"Asia"
"371",1327743,0,5729.25,1703.31,142,1649.78,235,"Europe"
"372",1327749,0,78.95,72.13,51.33,55.65,112,"Asia"
"373",1327752,0,1349,451.33,95.33,451.33,216,"Asia"
"374",1327753,0,271,102,33.67,88.83,195,"Europe"
"375",1327755,1,53,17.57,12.14,13.71,200,"Europe"
"376",1327771,0,4853.22,636.16,24.9,597.97,241,"Europe"
"377",1327790,0,84.25,84.25,212,74.25,193,"Europe"
"378",1327800,0,710,400.32,82,325.32,207,"Europe"
"379",1327816,0,398,239.67,69,202.83,33,"Europe"
"380",1327820,0,23.5,23.5,40,13.5,234,"Europe"
"381",1327826,0,298.5,68.62,40,67.77,232,"Europe"
"382",1327851,0,97.34,97.34,8,37.01,16,"Europe"
"383",1327853,0,790.2,228.99,171.5,217.24,10,"Europe"
"384",1327868,0,22,22,10,2,99,"Europe"
"385",1327872,0,552.19,552.19,103,406.2,217,"Europe"
"386",1327876,0,24905,2078.93,181,2034.07,181,"Europe"
"387",1327877,0,2.29,2.29,4,1.14,173,"Asia"
"388",1327878,0,3.5,3.5,6,1.95,188,"Asia"
"389",1327888,0,1734.68,208.81,157.09,230.68,206,"Europe"
"390",1327893,0,90.5,90.5,63,85.5,26,"Europe"
"391",1327895,0,756,281.4,74.2,255.8,144,"Europe"
"392",1327899,0,8668.1,4945.97,380.5,4812.65,2,"Asia"
"393",1327900,0,873.75,212.11,1.71,193.48,116,"Europe"
"394",1327904,1,0.1,0.1,1,0.09,10,"Asia"
"395",1327912,0,3301.92,477.14,234.26,415.51,237,"Europe"
"396",1327917,0,10,10,10,6,212,"Europe"
"397",1327920,1,2,2,4,1.65,238,"Europe"
"398",1327922,1,1830.68,311.67,93.58,302.38,240,"Europe"
"399",1327929,0,293.25,149.42,15.33,125.25,239,"Europe"
"400",1327936,0,6535,1550.94,199.75,1482.46,212,"Europe"
"401",1327950,0,810.5,559.83,2.67,565.5,196,"Europe"
"402",1327951,0,459,282.92,32.67,272.58,237,"Europe"
"403",1327959,0,686.92,230.33,65.17,226.95,241,"Europe"
"404",1327968,0,959,481.75,218,460.12,60,"Europe"
"405",1327985,0,116,116,2,36,240,"Europe"
"406",1327989,0,6.63,4.76,6,3.32,239,"Asia"
"407",1328005,0,8,8,8,3,44,"Europe"
"408",1328006,0,102,68.33,56,62.33,176,"Europe"
"409",1328015,0,229,58.85,45.18,56.39,81,"Europe"
"410",1328028,1,339.5,213.75,3.5,183,185,"Europe"
"411",1328036,0,963,963,863,931,241,"Europe"
"412",1328039,0,1435,1435,115,1307.5,223,"Europe"
"413",1328058,0,566,98.68,48.18,93.06,20,"Asia"
"414",1328060,0,113,113,113,75.5,220,"Europe"
"415",1328080,0,67,67,67,55.5,3,"Asia"
"416",1328083,1,3.2,1.31,0.9,1.14,5,"Europe"
"417",1328111,0,1549.25,840.5,1584,728.59,236,"Europe"
"418",1328112,0,312,127,40.4,131,237,"Europe"
"419",1328116,0,28.97,13.38,16.75,9.47,165,"Europe"
"420",1328130,1,90.4,22.6,22.6,23.12,168,"Europe"
"421",1328144,0,40.5,18.12,24.5,21.74,234,"Europe"
"422",1328151,0,4,0.4,1.8,0,208,"Europe"
"423",1328165,0,131,105.4,45.8,83.74,228,"Europe"
"424",1328176,0,12.5,12.5,15,8.5,142,"Europe"
"425",1328178,0,19,19,7,7.6,159,"Europe"
"426",1328181,0,61,29,10.33,23.67,162,"Europe"
"427",1328184,1,7.42,5.2,10.5,2.96,237,"Europe"
"428",1328213,0,20383.25,4507.98,9.65,4370.38,236,"Europe"
"429",1328222,0,1311,359.61,31.17,348,34,"Europe"
"430",1328223,0,3,3,1,0,27,"Europe"
"431",1328226,0,1.98,1.98,4,0.99,222,"Europe"
"432",1328231,0,1331.5,732.25,392,689.75,153,"Asia"
"433",1328248,0,1231,697.5,37,613.75,240,"Europe"
"434",1328261,0,30.02,12.89,6.67,11.16,233,"Asia"
"435",1328284,0,6,6,6,4,208,"Europe"
"436",1328285,1,1511.09,270.59,62.83,253.32,240,"Europe"
"437",1328293,0,233.8,43.01,39.17,37.5,22,"Europe"
"438",1328302,0,35.07,10.46,9.93,9.59,132,"Asia"
"439",1328322,0,633.52,218.15,789.33,194.81,230,"Europe"
"440",1328337,1,186.8,92.93,163.5,59.37,28,"Europe"
"441",1328342,0,153,153,203,132,241,"Europe"
"442",1328354,0,277.23,171.31,181.33,146.38,228,"Europe"
"443",1328356,0,58,15.94,8.38,11.36,115,"Asia"
"444",1328368,0,0,0,7,0,157,"Europe"
"445",1328386,1,165,165,15,120,35,"Europe"
"446",1328402,0,32.5,20.31,30.75,12.69,23,"Europe"
"447",1328416,0,194,98.5,21.5,88.75,239,"Europe"
"448",1328419,0,243.54,121.5,26.83,99.32,202,"Europe"
"449",1328431,0,500.34,119.45,73,106.36,216,"Europe"
"450",1328432,0,3.23,3.23,5,0.65,11,"Europe"
"451",1328481,0,577,185.14,54,172.29,136,"Europe"
"452",1328489,0,38.21,18.59,17,14.58,169,"Asia"
"453",1328505,0,182,41.75,1.8,37.26,89,"Europe"
"454",1328511,0,21,7.25,7.25,5,69,"Asia"
"455",1328522,0,28,20.75,22,17.08,82,"Europe"
"456",1328524,0,161,92.5,81.75,88.5,227,"Americas"
"457",1328527,0,85,28.33,2,26.17,225,"Europe"
